Sites,Number_sites,Additional_sites,Species_total,Mini_species,Mini_families,Mini_genera,Faith_PD,MPD,Mean_Difficulty,Total_Difficulty
MontagneDAmbre_Purple+Betampona_Green+Marojejy_White+Seychelles,4,3,11,5,2,4,1.92299407,0.515985246,2.090909091,23
Ranomafana_Pink+Andasibe_Blue+Tsitomgambarika_Yellow+Seychelles,4,3,13,8,2,5,1.91851878,0.438170802,1.923076923,25
Ranomafana_Pink+Tsitomgambarika_Yellow+Marojejy_White+Seychelles,4,3,13,8,2,6,1.89500116,0.445250739,2.230769231,29
Ranomafana_Pink+Tsitomgambarika_Yellow+NosyBe_Red+Seychelles,4,3,12,8,2,5,1.89410936,0.466507011,1.916666667,23
Betampona_Green+Marojejy_White+NosyBe_Red+Seychelles,4,3,12,6,2,4,1.87858167,0.483703976,2.25,27
Ranomafana_Pink+Andasibe_Blue+Betampona_Green+Seychelles,4,3,12,7,2,4,1.85851878,0.461047733,2,24
MontagneDAmbre_Purple+Betampona_Green+NosyBe_Red+Seychelles,4,3,10,5,2,3,1.85213587,0.538470432,1.7,17
Tsitomgambarika_Yellow+MontagneDAmbre_Purple+NosyBe_Red+Seychelles,4,3,10,6,2,4,1.84431872,0.533510231,1.6,16
Ranomafana_Pink+Betampona_Green+Marojejy_White+Seychelles,4,3,12,7,2,5,1.83500116,0.468290769,2.333333333,28
Ranomafana_Pink+Betampona_Green+NosyBe_Red+Seychelles,4,3,11,7,2,4,1.83410936,0.492885203,2,22
Ranomafana_Pink+Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Seychelles,4,3,11,7,2,5,1.8155835,0.488461566,1.727272727,19
Andasibe_Blue+Tsitomgambarika_Yellow+Betampona_Green+Seychelles,4,3,10,5,2,5,1.79114744,0.506203502,1.8,18
Ranomafana_Pink+MontagneDAmbre_Purple+Betampona_Green+Seychelles,4,3,10,6,2,4,1.7555835,0.519089408,1.8,18
Tsitomgambarika_Yellow+Betampona_Green+NosyBe_Red+Seychelles,4,3,9,5,2,4,1.73628347,0.54942732,1.777777778,16
Tsitomgambarika_Yellow+Betampona_Green+Marojejy_White+Seychelles,4,3,10,5,2,5,1.73018637,0.513290849,2.2,22
Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Betampona_Green+Seychelles,4,3,8,4,2,4,1.65775761,0.586408451,1.5,12
Ranomafana_Pink+Tsitomgambarika_Yellow+Betampona_Green+Seychelles,4,3,9,6,2,5,1.5697647,0.514355138,1.888888889,17
