Trait,Species,Individuals,Deviation,Direction,Power,Directional_power,Mean_departure
Peak_Jump_Force_mN,6,8,80,Negative,1,1,-0.7982
Peak_Jump_Force_mN,6,8,80,Positive,1,1,0.8173
Peak_Jump_Force_mN,6,10,0,Null,0.049,NA,0.0091
Peak_Jump_Force_mN,6,10,20,Negative,0.921,0.921,-0.1942
Peak_Jump_Force_mN,6,10,20,Positive,0.774,0.774,0.2136
Peak_Jump_Force_mN,6,10,50,Negative,1,1,-0.4963
Peak_Jump_Force_mN,6,10,50,Positive,1,1,0.51
Peak_Jump_Force_mN,6,10,80,Negative,1,1,-0.7978
Peak_Jump_Force_mN,6,10,80,Positive,1,1,0.811
Peak_Jump_Force_mN,7,5,0,Null,0.049,NA,0.018
Peak_Jump_Force_mN,7,5,20,Negative,0.725,0.725,-0.1847
Peak_Jump_Force_mN,7,5,20,Positive,0.575,0.575,0.2177
Peak_Jump_Force_mN,7,5,50,Negative,1,1,-0.4921
Peak_Jump_Force_mN,7,5,50,Positive,0.995,0.995,0.5298
Peak_Jump_Force_mN,7,5,80,Negative,1,1,-0.7967
Peak_Jump_Force_mN,7,5,80,Positive,1,1,0.8306
Peak_Jump_Force_mN,7,8,0,Null,0.051,NA,0.0083
Peak_Jump_Force_mN,7,8,20,Negative,0.908,0.908,-0.1895
Peak_Jump_Force_mN,7,8,20,Positive,0.766,0.766,0.2112
Peak_Jump_Force_mN,7,8,50,Negative,1,1,-0.494
Peak_Jump_Force_mN,7,8,50,Positive,1,1,0.5153
Peak_Jump_Force_mN,7,8,80,Negative,1,1,-0.7979
Peak_Jump_Force_mN,7,8,80,Positive,1,1,0.8194
Peak_Jump_Force_mN,7,10,0,Null,0.044,NA,0.0066
Peak_Jump_Force_mN,7,10,20,Negative,0.963,0.963,-0.1931
Peak_Jump_Force_mN,7,10,20,Positive,0.844,0.844,0.2093
Peak_Jump_Force_mN,7,10,50,Negative,1,1,-0.4952
Peak_Jump_Force_mN,7,10,50,Positive,1,1,0.5106
Peak_Jump_Force_mN,7,10,80,Negative,1,1,-0.7979
Peak_Jump_Force_mN,7,10,80,Positive,1,1,0.819
Peak_Jump_Force_mN,8,5,0,Null,0.057,NA,0.0154
Peak_Jump_Force_mN,8,5,20,Negative,0.809,0.809,-0.1882
Peak_Jump_Force_mN,8,5,20,Positive,0.684,0.684,0.2229
Peak_Jump_Force_mN,8,5,50,Negative,1,1,-0.4905
Peak_Jump_Force_mN,8,5,50,Positive,0.999,0.999,0.526
Peak_Jump_Force_mN,8,5,80,Negative,1,1,-0.7967
Peak_Jump_Force_mN,8,5,80,Positive,1,1,0.8287
Peak_Jump_Force_mN,8,8,0,Null,0.055,NA,0.008
Peak_Jump_Force_mN,8,8,20,Negative,0.956,0.956,-0.1921
Peak_Jump_Force_mN,8,8,20,Positive,0.851,0.851,0.2099
Peak_Jump_Force_mN,8,8,50,Negative,1,1,-0.4933
Peak_Jump_Force_mN,8,8,50,Positive,1,1,0.5155
Peak_Jump_Force_mN,8,8,80,Negative,1,1,-0.7974
Peak_Jump_Force_mN,8,8,80,Positive,1,1,0.8206
Peak_Jump_Force_mN,8,10,0,Null,0.045,NA,0.0085
Peak_Jump_Force_mN,8,10,20,Negative,0.985,0.985,-0.1935
Peak_Jump_Force_mN,8,10,20,Positive,0.922,0.922,0.209
Peak_Jump_Force_mN,8,10,50,Negative,1,1,-0.4958
Peak_Jump_Force_mN,8,10,50,Positive,1,1,0.5145
Peak_Jump_Force_mN,8,10,80,Negative,1,1,-0.7981
Peak_Jump_Force_mN,8,10,80,Positive,1,1,0.8131
Peak_Jump_Force_mN,9,5,0,Null,0.044,NA,0.0127
Peak_Jump_Force_mN,9,5,20,Negative,0.862,0.862,-0.1851
Peak_Jump_Force_mN,9,5,20,Positive,0.753,0.753,0.2188
Peak_Jump_Force_mN,9,5,50,Negative,1,1,-0.4915
Peak_Jump_Force_mN,9,5,50,Positive,1,1,0.5291
Peak_Jump_Force_mN,9,5,80,Negative,1,1,-0.797
Peak_Jump_Force_mN,9,5,80,Positive,1,1,0.8227
Peak_Jump_Force_mN,9,8,0,Null,0.029,NA,0.0106
Peak_Jump_Force_mN,9,8,20,Negative,0.97,0.97,-0.1889
Peak_Jump_Force_mN,9,8,20,Positive,0.908,0.908,0.2121
Peak_Jump_Force_mN,9,8,50,Negative,1,1,-0.4946
Peak_Jump_Force_mN,9,8,50,Positive,1,1,0.5197
Peak_Jump_Force_mN,9,8,80,Negative,1,1,-0.7977
Peak_Jump_Force_mN,9,8,80,Positive,1,1,0.8218
Peak_Jump_Force_mN,9,10,0,Null,0.043,NA,0.0082
Peak_Jump_Force_mN,9,10,20,Negative,0.993,0.993,-0.1915
Peak_Jump_Force_mN,9,10,20,Positive,0.958,0.958,0.2118
Peak_Jump_Force_mN,9,10,50,Negative,1,1,-0.4961
Peak_Jump_Force_mN,9,10,50,Positive,1,1,0.5188
Peak_Jump_Force_mN,9,10,80,Negative,1,1,-0.7982
Peak_Jump_Force_mN,9,10,80,Positive,1,1,0.8147
Peak_Jump_Force_mN,10,5,0,Null,0.062,NA,0.0166
Peak_Jump_Force_mN,10,5,20,Negative,0.892,0.892,-0.1854
Peak_Jump_Force_mN,10,5,20,Positive,0.813,0.813,0.2199
Peak_Jump_Force_mN,10,5,50,Negative,1,1,-0.4901
Peak_Jump_Force_mN,10,5,50,Positive,1,1,0.5283
Peak_Jump_Force_mN,10,5,80,Negative,1,1,-0.797
Peak_Jump_Force_mN,10,5,80,Positive,1,1,0.8253
Peak_Jump_Force_mN,10,8,0,Null,0.051,NA,0.0109
Peak_Jump_Force_mN,10,8,20,Negative,0.986,0.986,-0.1903
Peak_Jump_Force_mN,10,8,20,Positive,0.954,0.954,0.2121
Peak_Jump_Force_mN,10,8,50,Negative,1,1,-0.4953
Peak_Jump_Force_mN,10,8,50,Positive,1,1,0.5167
Peak_Jump_Force_mN,10,8,80,Negative,1,1,-0.798
Peak_Jump_Force_mN,10,8,80,Positive,1,1,0.82
Peak_Jump_Force_mN,10,10,0,Null,0.058,NA,0.0073
Peak_Jump_Force_mN,10,10,20,Negative,0.994,0.994,-0.1935
Peak_Jump_Force_mN,10,10,20,Positive,0.977,0.977,0.2102
Peak_Jump_Force_mN,10,10,50,Negative,1,1,-0.4953
Peak_Jump_Force_mN,10,10,50,Positive,1,1,0.5135
Peak_Jump_Force_mN,10,10,80,Negative,1,1,-0.798
Peak_Jump_Force_mN,10,10,80,Positive,1,1,0.8154
Walking_Speed_SVL.second,4,5,0,Null,0.047,NA,0.0669
Walking_Speed_SVL.second,4,5,20,Negative,0.193,0.191,-0.1457
Walking_Speed_SVL.second,4,5,20,Positive,0.087,0.083,0.2846
Walking_Speed_SVL.second,4,5,50,Negative,0.842,0.842,-0.4642
Walking_Speed_SVL.second,4,5,50,Positive,0.25,0.25,0.6119
Walking_Speed_SVL.second,4,5,80,Negative,1,1,-0.7857
Walking_Speed_SVL.second,4,5,80,Positive,0.402,0.402,0.9249
Walking_Speed_SVL.second,4,8,0,Null,0.044,NA,0.0499
Walking_Speed_SVL.second,4,8,20,Negative,0.227,0.226,-0.1656
Walking_Speed_SVL.second,4,8,20,Positive,0.119,0.116,0.2433
Walking_Speed_SVL.second,4,8,50,Negative,0.936,0.936,-0.4797
Walking_Speed_SVL.second,4,8,50,Positive,0.379,0.379,0.5643
Walking_Speed_SVL.second,4,8,80,Negative,1,1,-0.7913
Walking_Speed_SVL.second,4,8,80,Positive,0.612,0.612,0.8605
Walking_Speed_SVL.second,4,10,0,Null,0.038,NA,0.028
Walking_Speed_SVL.second,4,10,20,Negative,0.269,0.269,-0.1747
Walking_Speed_SVL.second,4,10,20,Positive,0.154,0.152,0.2408
Walking_Speed_SVL.second,4,10,50,Negative,0.969,0.969,-0.4814
Walking_Speed_SVL.second,4,10,50,Positive,0.44,0.44,0.5496
Walking_Speed_SVL.second,4,10,80,Negative,1,1,-0.7932
Walking_Speed_SVL.second,4,10,80,Positive,0.725,0.725,0.867
Walking_Speed_SVL.second,5,5,0,Null,0.051,NA,0.0698
Walking_Speed_SVL.second,5,5,20,Negative,0.223,0.223,-0.1403
Walking_Speed_SVL.second,5,5,20,Positive,0.12,0.118,0.2844
Walking_Speed_SVL.second,5,5,50,Negative,0.913,0.913,-0.4623
Walking_Speed_SVL.second,5,5,50,Positive,0.356,0.356,0.5899
Walking_Speed_SVL.second,5,5,80,Negative,1,1,-0.7855
Walking_Speed_SVL.second,5,5,80,Positive,0.624,0.624,0.9351
Walking_Speed_SVL.second,5,8,0,Null,0.065,NA,0.0345
Walking_Speed_SVL.second,5,8,20,Negative,0.296,0.296,-0.1688
Walking_Speed_SVL.second,5,8,20,Positive,0.175,0.173,0.2489
Walking_Speed_SVL.second,5,8,50,Negative,0.984,0.984,-0.4815
Walking_Speed_SVL.second,5,8,50,Positive,0.534,0.534,0.5568
Walking_Speed_SVL.second,5,8,80,Negative,1,1,-0.7921
Walking_Speed_SVL.second,5,8,80,Positive,0.833,0.833,0.8764
Walking_Speed_SVL.second,5,10,0,Null,0.043,NA,0.0327
Walking_Speed_SVL.second,5,10,20,Negative,0.374,0.374,-0.1756
Walking_Speed_SVL.second,5,10,20,Positive,0.212,0.212,0.2525
Walking_Speed_SVL.second,5,10,50,Negative,0.995,0.995,-0.483
Walking_Speed_SVL.second,5,10,50,Positive,0.68,0.68,0.5511
Walking_Speed_SVL.second,5,10,80,Negative,1,1,-0.7936
Walking_Speed_SVL.second,5,10,80,Positive,0.896,0.896,0.8444
Walking_Speed_SVL.second,6,5,0,Null,0.049,NA,0.0703
Walking_Speed_SVL.second,6,5,20,Negative,0.248,0.247,-0.1472
Walking_Speed_SVL.second,6,5,20,Positive,0.17,0.17,0.2882
Walking_Speed_SVL.second,6,5,50,Negative,0.946,0.946,-0.4629
Walking_Speed_SVL.second,6,5,50,Positive,0.523,0.523,0.6057
Walking_Speed_SVL.second,6,5,80,Negative,1,1,-0.7856
Walking_Speed_SVL.second,6,5,80,Positive,0.806,0.806,0.9169
Walking_Speed_SVL.second,6,8,0,Null,0.036,NA,0.0413
Walking_Speed_SVL.second,6,8,20,Negative,0.374,0.373,-0.1635
Walking_Speed_SVL.second,6,8,20,Positive,0.242,0.242,0.2537
Walking_Speed_SVL.second,6,8,50,Negative,0.992,0.992,-0.4777
Walking_Speed_SVL.second,6,8,50,Positive,0.742,0.742,0.5686
Walking_Speed_SVL.second,6,8,80,Negative,1,1,-0.7917
Walking_Speed_SVL.second,6,8,80,Positive,0.928,0.928,0.8834
Walking_Speed_SVL.second,6,10,0,Null,0.048,NA,0.0321
Walking_Speed_SVL.second,6,10,20,Negative,0.424,0.424,-0.1745
Walking_Speed_SVL.second,6,10,20,Positive,0.268,0.268,0.2368
Walking_Speed_SVL.second,6,10,50,Negative,1,1,-0.4831
Walking_Speed_SVL.second,6,10,50,Positive,0.818,0.818,0.543
Walking_Speed_SVL.second,6,10,80,Negative,1,1,-0.7932
Walking_Speed_SVL.second,6,10,80,Positive,0.979,0.979,0.8633
Walking_Speed_SVL.second,7,5,0,Null,0.046,NA,0.0622
Walking_Speed_SVL.second,7,5,20,Negative,0.285,0.285,-0.1468
Walking_Speed_SVL.second,7,5,20,Positive,0.185,0.184,0.2865
Walking_Speed_SVL.second,7,5,50,Negative,0.98,0.98,-0.4674
Walking_Speed_SVL.second,7,5,50,Positive,0.649,0.649,0.5936
Walking_Speed_SVL.second,7,5,80,Negative,1,1,-0.7865
Walking_Speed_SVL.second,7,5,80,Positive,0.9,0.9,0.9178
Walking_Speed_SVL.second,7,8,0,Null,0.035,NA,0.0385
Walking_Speed_SVL.second,7,8,20,Negative,0.397,0.397,-0.1659
Walking_Speed_SVL.second,7,8,20,Positive,0.28,0.278,0.2527
Walking_Speed_SVL.second,7,8,50,Negative,0.998,0.998,-0.4783
Walking_Speed_SVL.second,7,8,50,Positive,0.85,0.85,0.5579
Walking_Speed_SVL.second,7,8,80,Negative,1,1,-0.7921
Walking_Speed_SVL.second,7,8,80,Positive,0.99,0.99,0.8745
Walking_Speed_SVL.second,7,10,0,Null,0.051,NA,0.0348
Walking_Speed_SVL.second,7,10,20,Negative,0.492,0.492,-0.1743
Walking_Speed_SVL.second,7,10,20,Positive,0.364,0.364,0.2487
Walking_Speed_SVL.second,7,10,50,Negative,1,1,-0.4844
Walking_Speed_SVL.second,7,10,50,Positive,0.919,0.919,0.5498
Walking_Speed_SVL.second,7,10,80,Negative,1,1,-0.7933
Walking_Speed_SVL.second,7,10,80,Positive,0.995,0.995,0.8534
Walking_Speed_SVL.second,8,5,0,Null,0.052,NA,0.0697
Walking_Speed_SVL.second,8,5,20,Negative,0.284,0.283,-0.1466
Walking_Speed_SVL.second,8,5,20,Positive,0.245,0.245,0.2731
Walking_Speed_SVL.second,8,5,50,Negative,0.992,0.992,-0.464
Walking_Speed_SVL.second,8,5,50,Positive,0.772,0.772,0.6062
Walking_Speed_SVL.second,8,5,80,Negative,1,1,-0.7861
Walking_Speed_SVL.second,8,5,80,Positive,0.956,0.956,0.923
Walking_Speed_SVL.second,8,8,0,Null,0.039,NA,0.0401
Walking_Speed_SVL.second,8,8,20,Negative,0.459,0.459,-0.1681
Walking_Speed_SVL.second,8,8,20,Positive,0.309,0.309,0.2465
Walking_Speed_SVL.second,8,8,50,Negative,1,1,-0.4785
Walking_Speed_SVL.second,8,8,50,Positive,0.9,0.9,0.5568
Walking_Speed_SVL.second,8,8,80,Negative,1,1,-0.7917
Walking_Speed_SVL.second,8,8,80,Positive,0.999,0.999,0.8817
Walking_Speed_SVL.second,8,10,0,Null,0.048,NA,0.031
Walking_Speed_SVL.second,8,10,20,Negative,0.531,0.531,-0.1709
Walking_Speed_SVL.second,8,10,20,Positive,0.439,0.439,0.2434
Walking_Speed_SVL.second,8,10,50,Negative,1,1,-0.4808
Walking_Speed_SVL.second,8,10,50,Positive,0.956,0.956,0.5488
Walking_Speed_SVL.second,8,10,80,Negative,1,1,-0.793
Walking_Speed_SVL.second,8,10,80,Positive,1,1,0.8537
Walking_Speed_SVL.second,9,5,0,Null,0.044,NA,0.0703
Walking_Speed_SVL.second,9,5,20,Negative,0.311,0.31,-0.143
Walking_Speed_SVL.second,9,5,20,Positive,0.276,0.275,0.278
Walking_Speed_SVL.second,9,5,50,Negative,0.997,0.997,-0.4657
Walking_Speed_SVL.second,9,5,50,Positive,0.82,0.82,0.6038
Walking_Speed_SVL.second,9,5,80,Negative,1,1,-0.7863
Walking_Speed_SVL.second,9,5,80,Positive,0.976,0.976,0.9151
Walking_Speed_SVL.second,9,8,0,Null,0.058,NA,0.0435
Walking_Speed_SVL.second,9,8,20,Negative,0.471,0.471,-0.1643
Walking_Speed_SVL.second,9,8,20,Positive,0.411,0.411,0.2475
Walking_Speed_SVL.second,9,8,50,Negative,1,1,-0.4812
Walking_Speed_SVL.second,9,8,50,Positive,0.965,0.965,0.5679
Walking_Speed_SVL.second,9,8,80,Negative,1,1,-0.7919
Walking_Speed_SVL.second,9,8,80,Positive,1,1,0.882
Walking_Speed_SVL.second,9,10,0,Null,0.049,NA,0.035
Walking_Speed_SVL.second,9,10,20,Negative,0.565,0.565,-0.1694
Walking_Speed_SVL.second,9,10,20,Positive,0.466,0.466,0.2419
Walking_Speed_SVL.second,9,10,50,Negative,1,1,-0.4859
Walking_Speed_SVL.second,9,10,50,Positive,0.987,0.987,0.5605
Walking_Speed_SVL.second,9,10,80,Negative,1,1,-0.7934
Walking_Speed_SVL.second,9,10,80,Positive,1,1,0.8606
Walking_Speed_SVL.second,10,5,0,Null,0.048,NA,0.0738
Walking_Speed_SVL.second,10,5,20,Negative,0.316,0.316,-0.1427
Walking_Speed_SVL.second,10,5,20,Positive,0.338,0.338,0.2887
Walking_Speed_SVL.second,10,5,50,Negative,0.997,0.997,-0.4681
Walking_Speed_SVL.second,10,5,50,Positive,0.903,0.903,0.6064
Walking_Speed_SVL.second,10,5,80,Negative,1,1,-0.7862
Walking_Speed_SVL.second,10,5,80,Positive,0.993,0.993,0.9285
Walking_Speed_SVL.second,10,8,0,Null,0.049,NA,0.0431
Walking_Speed_SVL.second,10,8,20,Negative,0.552,0.552,-0.1682
Walking_Speed_SVL.second,10,8,20,Positive,0.483,0.483,0.2524
Walking_Speed_SVL.second,10,8,50,Negative,1,1,-0.4794
Walking_Speed_SVL.second,10,8,50,Positive,0.982,0.982,0.5628
Walking_Speed_SVL.second,10,8,80,Negative,1,1,-0.7905
Walking_Speed_SVL.second,10,8,80,Positive,1,1,0.874
Walking_Speed_SVL.second,10,10,0,Null,0.049,NA,0.0314
Walking_Speed_SVL.second,10,10,20,Negative,0.618,0.618,-0.1709
Walking_Speed_SVL.second,10,10,20,Positive,0.586,0.586,0.2428
Walking_Speed_SVL.second,10,10,50,Negative,1,1,-0.4829
Walking_Speed_SVL.second,10,10,50,Positive,0.993,0.993,0.5517
Walking_Speed_SVL.second,10,10,80,Negative,1,1,-0.792
Walking_Speed_SVL.second,10,10,80,Positive,1,1,0.8573
