species,Individual,mass_g,SVL_mm,Perc_Muscle_Mass,Perc_Viscera_Mass,Hindlimb.SVL,Tarsal.Tibia_Length,Distal.Proximal_Aponeurosis_Width,PL_Fiber.Muscle_Length,PL_Pennation_Angle_deg,PL.Total_Muscle_Mass,Peak_Jump_Force_BW,Jump_Takeoff_Velocity_SVL.second,Total_Jump_Energy_J.kg_musc,Peak_Jump_Power_W.kg_musc,Mean_Swim_Speed_SVL.second,Swim_Frequency_Hz,Swim_Duty_Factor,Peak_Swim_Speed_SVL.second,Walking_Stride_Frequency_Hz,Walking_Speed_SVL.second,SM_Twitch.Tetanus_Ratio,SM_Time_to_Peak_Twitch_ms,SM_Time_to_Half_Twitch_Relax_ms,SM_Time_to_Peak_Tetanus_ms,SM_Time_to_Half_Peak_Tetanus_ms,SM_Time_to_Half_Tetanus_Relax_ms,SM_Time_to_50%_Force_Loss_s,PL_Twitch.Tetanus_Ratio,PL_Time_to_Peak_Twitch_ms,PL_Time_to_Half_Twitch_Relax_ms,PL_Time_to_Peak_Tetanus_ms,PL_Time_to_Half_Peak_Tetanus_ms,PL_Time_to_Half_Tetanus_Relax_ms,PL_Time_to_50Perc_Force_Loss_s
Heterixalus_alboguttatus,2,0.878,28,0.16,0.07,1.96,0.57,1,0.45,12.6,0.13,3.7,47.6,6.4,176,10.84,3.16,0.21,29.89,,,0.832,0.025,0.038,0.12,0.013,0.065,6,0.746,0.026,0.027,0.079,0.013,0.079,7
Heterixalus_alboguttatus,3,1.633,30,0.15,0.27,1.97,0.67,1.57,0.4,12.3,0.16,2.38,34.4,8.1,116,8.04,1.4,0.16,29.66,,,0.322,0.026,0.03,0.111,0.023,0.053,8,0.558,0.032,0.039,0.19,0.021,0.054,8
Kaloula_pulchra,1,20.933,61,0.08,0.16,1.38,0.65,0.55,0.41,22.5,0.13,2.1,17.2,8.2,152,6.07,4,0.4,11.44,,,0.623,0.038,0.042,0.241,0.02,0.064,39,0.497,0.046,0.036,0.244,0.041,0.062,28
Kaloula_pulchra,2,15.37,58,0.06,0.12,1.44,0.68,0.56,0.31,23.7,0.14,,,,,3.29,3.16,0.26,5.72,,,0.716,0.045,0.074,0.294,0.021,0.088,12,0.541,0.061,0.034,0.296,0.034,0.081,8
Kaloula_pulchra,3,31.894,68,0.09,0.15,1.26,0.65,0.67,0.49,19.1,0.12,3.91,23,16.9,386,4.82,3.75,0.25,9.54,,,0.614,0.033,0.038,0.138,0.019,0.052,49,0.434,0.056,0.033,0.354,0.042,0.054,25
Kassina_senegalensis,1,1.175,30,0.09,0.14,1.4,0.7,1.57,0.56,16.5,0.16,2.85,27.2,5,133,6.08,2.5,0.21,16.06,5.21,8.83,0.542,0.026,0.046,0.241,0.015,0.057,48,0.467,0.029,0.037,0.162,0.022,0.062,22
Kassina_senegalensis,2,0.734,27,0.07,0.11,1.63,0.7,1.4,0.41,14.2,0.17,3.8,26.7,5.4,252,7.59,4,0.27,14.88,4.17,5.54,0.751,0.03,0.049,0.087,0.015,0.055,16,,,,,,,
Kassina_senegalensis,3,1.723,33,0.08,0.24,1.52,0.58,1.44,0.45,25.7,0.16,4.83,36.3,11,381,6.46,3.53,0.24,14.44,6.58,11.17,0.294,0.025,0.027,0.16,0.031,0.048,20,0.346,0.022,0.021,0.13,0.026,0.031,15
Litoria_aurea,1,6.06,47,0.12,0.17,1.74,0.7,1.59,0.33,19.7,0.14,5.17,55.5,32.3,753,9.23,4.29,0.29,19.59,,,0.439,0.027,0.026,0.088,0.02,0.035,9,0.489,0.036,0.041,0.152,0.034,0.052,13
Litoria_aurea,2,7.736,51,0.14,0.16,1.65,0.7,2.25,0.39,16.1,0.15,5.31,48.9,25.9,615,8.18,2.22,0.15,19.22,,,0.505,0.03,0.037,0.098,0.018,0.046,8,0.48,0.035,0.033,0.139,0.026,0.049,10
