"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.526317007827107,0.0510468683088316,10.310466151281,1.9782283834851e-13,0.423503337374535,0.629130678279679
"log10(mass_g)",0.0105233898671138,0.0431383846125002,0.24394492194463,0.808382262423402,-0.0763617767717683,0.0974085565059958
