"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.51798601520706,0.0510468683088316,29.7371036754557,3.14088820242979e-31,1.41517234475448,1.62079968565963
"log10(mass_g)",1.01052338986711,0.0431383846125002,23.4251560169524,7.59766497783926e-27,0.923638223228232,1.097408556506
