"Trait","N","Slope","Slope_lower95","Slope_upper95","Intercept","R2","Residual_SD"
"Peak_Jump_Force_mN",47,1.01052338986711,0.923638223228232,1.097408556506,1.51798601520706,0.924208986168169,0.179590646062378
"Jump_Takeoff_Velocity_SVL.second",47,-0.130966441209575,-0.211716277162604,-0.0502166052565454,1.57155432092727,0.191677961459212,0.166908987681515
"Mean_Swim_Speed_SVL.second",54,-0.148330010303146,-0.202427180698694,-0.0942328399075993,0.938214253939351,0.367955416787555,0.116606155774555
"Walking_Speed_SVL.second",13,-0.358750153343125,-0.707164399235233,-0.010335907451018,0.684477420316406,0.318295294354036,0.352936959089924
